C1,C2,C3,C4,C5,S1,S2,S3,S4,S5,S6,S7
3,4,4,4,4,3,3,3,3,3,4,3
3,3,2,3,3,3,2,2,3,3,3,3
3,3,3,3,4,3,4,3,3,4,4,3
3,4,4,3,3,3,2,2,4,3,3,3
3,3,2,3,3,3,3,3,4,4,4,3
3,3,2,4,3,3,4,3,4,3,4,3
4,4,4,3,4,4,4,4,3,3,4,4
2,2,3,3,4,3,3,2,3,3,3,3
3,4,3,4,4,3,3,2,4,3,2,3
3,4,3,3,3,2,2,4,2,3,3,2
4,4,4,4,3,3,3,3,2,3,4,3
3,2,2,3,3,2,3,3,3,3,2,2
3,3,3,3,3,3,3,4,3,3,2,4
3,2,2,2,3,3,3,4,4,4,3,4
4,3,3,3,3,2,2,2,2,2,3,3
2,3,3,2,3,3,3,3,2,3,3,2
2,3,3,3,2,2,1,3,3,2,3,2
3,3,3,3,3,3,3,2,3,2,3,2
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,2,4,4,3,2,4,2,4
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,2,2,3,2,3,2
3,2,2,4,3,2,3,2,4,3,3,3
3,3,3,3,3,3,4,2,3,3,3,3
2,3,3,2,2,3,2,3,3,2,3,2
4,3,4,4,4,4,3,3,4,3,3,3
2,4,2,4,3,2,2,2,2,3,3,2
3,3,3,3,3,2,3,3,4,3,3,3
3,4,3,3,4,4,3,3,3,3,3,4
3,3,3,3,3,3,2,3,2,2,3,2
3,3,2,3,3,3,3,3,4,3,3,3
3,2,3,3,3,3,3,3,3,3,3,3
4,4,3,4,3,3,2,3,3,2,3,2
4,2,2,3,3,4,4,4,4,4,3,4
3,3,2,3,3,3,3,4,3,2,3,3
3,3,3,3,3,3,3,4,3,3,3,3
3,4,3,4,3,3,3,3,3,3,4,2
3,4,4,4,4,3,3,3,4,4,3,3
3,2,2,3,3,2,3,3,4,3,3,3
4,4,4,3,4,4,4,3,3,4,4,5
3,3,3,3,2,3,3,2,2,2,3,2
3,2,2,3,3,3,4,3,3,3,3,4
4,4,5,3,4,4,4,3,3,4,3,4
3,4,3,3,3,3,2,2,3,2,3,3
3,3,3,3,3,3,3,3,3,2,3,2
3,2,2,2,3,2,3,3,3,3,2,2
3,3,3,3,3,3,3,2,2,2,3,2
3,4,3,3,3,3,4,4,3,3,3,4
3,3,3,3,3,3,3,3,3,3,3,2
3,3,3,3,3,3,3,3,3,2,3,2
3,2,3,3,3,3,3,4,3,4,2,4
3,3,2,2,2,3,3,3,4,3,3,3
3,4,3,3,3,3,3,2,2,2,3,3
4,4,4,3,4,3,3,4,3,3,4,3
4,3,3,3,4,3,3,3,2,2,2,2
4,3,3,3,3,4,3,3,3,3,3,3
2,3,2,2,3,3,3,3,3,2,3,3
2,3,3,3,3,3,2,3,3,3,3,3
3,3,3,2,3,4,3,3,2,2,3,3
3,3,4,2,3,3,3,3,3,3,3,3
3,4,3,3,4,3,4,3,3,3,3,3
2,2,3,2,2,3,4,2,2,3,2,3
3,3,3,4,3,2,3,4,3,3,3,2
4,4,4,5,4,4,4,4,3,4,4,4
4,3,3,3,3,3,3,3,2,4,4,3
4,4,3,3,4,3,4,3,3,4,3,3
3,4,3,3,3,3,4,3,2,3,3,3
4,3,4,3,3,3,3,3,3,4,3,3
2,2,2,2,2,3,3,3,3,3,3,3
3,4,3,3,3,3,3,2,2,3,3,2
3,3,3,3,3,4,4,4,4,4,3,4
3,4,3,4,3,4,3,4,3,3,4,4
3,3,3,3,3,2,3,2,3,3,3,2
2,3,3,3,3,4,3,3,3,3,3,4
3,3,4,3,3,3,3,3,3,4,3,2
3,3,3,3,4,3,4,2,4,3,3,3
3,4,3,3,3,3,4,3,2,4,3,4
3,3,3,3,3,4,3,3,4,3,4,3
2,3,3,3,3,3,3,2,3,2,3,2
3,3,3,3,3,3,3,3,3,3,3,3
3,4,3,4,3,3,2,3,3,3,4,3
3,3,3,3,3,2,3,3,3,3,3,3
3,3,3,3,3,3,3,2,3,3,2,3
3,3,4,4,3,2,3,3,2,2,3,3
4,4,4,4,3,4,4,3,3,3,4,4
4,3,3,3,4,4,3,3,3,3,3,3
3,3,3,3,3,4,4,4,4,4,5,4
4,4,4,4,4,3,4,3,4,4,4,3
3,4,4,3,3,3,3,3,2,3,3,3
3,4,3,3,3,3,3,3,4,3,3,2
4,3,2,4,3,3,3,4,3,3,2,4
3,2,3,3,3,3,3,3,3,2,3,2
4,4,4,4,4,3,3,2,4,4,3,3
3,3,3,3,4,4,3,3,3,3,2,4
2,2,2,2,2,3,2,2,4,2,2,2
3,2,3,3,3,3,3,3,3,3,3,3
3,2,2,3,2,3,3,2,4,3,3,3
3,3,2,3,2,3,2,2,3,3,3,3
2,2,2,2,2,2,2,3,3,2,3,3
4,3,3,3,3,3,4,2,3,3,4,4
4,3,3,3,3,3,2,2,2,2,3,2
3,4,3,2,2,2,3,3,3,3,3,2
2,2,3,2,2,2,3,3,3,3,2,3
3,3,3,3,3,3,3,5,3,5,3,4
3,3,3,3,3,2,3,3,3,2,2,3
3,4,3,4,3,3,3,3,3,3,2,2
3,3,2,2,3,4,5,4,3,4,3,5
2,2,2,2,2,2,2,2,2,2,1,2
3,2,2,2,2,3,3,4,3,3,4,3
4,3,4,3,4,4,4,4,3,4,4,2
4,3,4,4,4,4,3,4,3,4,5,3
3,3,4,3,3,4,4,3,3,4,2,4
3,3,3,3,3,3,3,3,4,3,3,3
3,3,4,3,4,4,5,3,3,4,3,4
3,4,4,3,3,2,3,3,3,3,3,2
3,4,3,4,4,4,4,4,4,3,4,3
3,3,3,3,3,3,4,3,4,4,4,4
3,2,3,2,2,3,3,3,2,2,3,3
2,4,3,3,2,3,2,4,2,3,3,3
3,3,4,3,3,3,3,4,3,3,3,3
3,3,2,2,3,3,4,3,3,3,3,3
3,4,4,4,4,4,3,4,3,4,3,3
4,3,4,3,4,4,3,3,3,3,3,3
2,3,2,3,2,3,3,3,3,3,3,3
3,3,2,3,2,3,2,3,3,2,3,3
3,3,2,3,3,3,3,4,3,3,4,4
3,4,3,3,3,2,2,3,3,3,3,3
3,3,2,3,2,4,4,3,4,4,3,4
3,4,3,2,3,3,2,4,3,4,3,3
2,3,3,3,2,2,2,2,3,2,2,2
3,3,3,3,2,2,3,1,3,3,3,2
3,3,3,3,3,3,3,2,2,3,3,2
3,3,2,2,2,3,2,2,1,3,2,2
3,2,2,2,2,2,2,3,2,3,3,2
3,3,4,4,4,3,3,3,3,3,2,2
3,3,3,4,3,3,3,3,4,3,4,3
3,4,3,3,2,3,2,3,3,3,3,3
3,3,3,3,3,2,3,4,3,3,2,3
4,3,4,4,3,3,3,3,3,2,3,3
3,3,3,3,2,3,4,4,4,3,3,3
3,3,2,3,3,3,3,2,3,3,2,3
3,3,2,2,3,3,2,3,3,4,2,2
3,3,3,4,3,4,5,4,3,4,3,4
3,4,3,4,4,3,3,3,2,3,2,2
3,4,3,3,3,3,3,3,2,3,3,3
3,3,3,3,3,3,2,2,2,2,2,3
3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,4,3,2,3,3,4,3,3,3
4,3,3,4,4,3,3,3,4,3,3,2
3,3,3,3,3,3,2,2,3,2,2,2
3,3,3,3,4,4,3,3,3,3,3,3
4,3,3,3,3,3,2,2,3,2,3,2
3,3,3,3,3,4,3,3,2,3,3,3
3,4,3,3,3,3,3,3,3,3,3,4
3,3,3,3,2,3,4,2,3,2,2,3
4,4,4,4,4,4,4,3,3,4,3,4
3,4,3,3,3,2,3,3,2,3,4,3
3,4,4,3,4,3,4,2,2,3,3,3
4,4,4,3,3,4,3,3,3,3,3,2
3,4,4,4,4,3,2,3,2,3,3,2
3,3,3,3,3,2,2,2,3,3,3,2
4,3,3,3,3,4,3,3,3,3,3,3
2,1,2,2,2,3,2,3,3,2,3,2
2,3,2,3,2,2,2,2,2,2,3,2
3,3,2,3,3,4,3,4,3,3,4,4
2,3,3,3,3,4,3,4,3,4,4,3
2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,2,2,2,2,3,3,2,3,2
4,4,4,4,4,3,3,3,3,3,3,3
3,3,3,3,2,3,3,3,3,4,2,3
2,2,3,2,3,2,2,2,3,2,3,2
3,3,3,3,2,3,3,3,2,4,2,3
3,3,3,2,3,3,4,3,3,4,3,4
4,3,4,4,4,3,3,3,4,3,3,3
3,3,3,2,3,3,3,3,4,4,4,4
3,4,3,2,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,2,3,3,3
2,3,3,2,3,3,2,3,2,2,3,2
3,3,3,3,3,3,3,3,4,3,4,4
3,3,3,3,3,2,3,2,2,3,3,3
3,3,4,3,3,3,2,3,3,3,3,3
2,2,3,3,3,4,3,3,4,3,3,4
3,3,2,3,3,2,3,3,2,3,3,3
3,3,3,2,2,4,3,3,4,3,4,3
3,3,3,2,2,2,3,3,3,3,3,2
4,4,4,3,5,3,4,3,3,4,3,4
3,2,3,3,3,2,3,2,3,3,4,2
4,4,3,4,3,3,3,3,3,3,3,3
3,3,4,3,3,3,3,3,3,3,3,2
2,3,2,3,2,4,3,2,3,4,2,3
3,4,5,5,4,4,3,3,3,3,3,3
3,3,3,2,3,2,3,2,2,2,3,2
4,4,3,3,3,3,2,3,2,3,3,3
3,2,3,3,3,3,3,2,3,3,2,3
3,3,4,3,3,2,3,3,2,2,2,3
3,4,3,4,5,4,3,3,5,4,4,3
3,3,3,3,3,3,3,2,3,2,3,2
4,3,3,3,3,4,3,3,3,3,3,3
2,3,3,3,3,3,2,3,4,3,4,3
3,2,2,3,2,3,2,2,2,2,2,2
2,2,2,3,2,3,3,2,3,2,3,2
3,2,3,3,3,3,3,3,4,3,4,4
2,2,2,2,2,3,3,4,2,3,2,2
3,3,4,3,3,3,3,3,3,2,3,2
2,2,2,3,3,3,2,2,3,2,3,3
4,4,3,3,4,4,4,4,3,3,4,4
2,2,2,2,2,3,3,3,3,3,3,3
3,3,3,2,3,3,3,3,3,3,2,4
3,4,3,2,2,2,2,3,2,2,2,2
4,4,4,4,4,3,3,4,2,3,3,4
2,3,2,3,3,3,2,3,4,4,4,3
4,3,4,3,4,4,3,2,3,3,3,3
2,3,3,2,2,3,2,2,2,2,2,3
4,3,4,5,4,3,4,3,3,4,4,3
3,3,3,3,3,2,3,3,4,3,4,3
3,2,2,3,2,3,4,3,4,4,3,4
3,3,3,2,3,2,2,3,3,3,3,3
4,3,3,3,3,3,3,4,4,4,4,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,2,3,3,3,3,3,3,3
3,4,3,4,4,3,3,3,2,3,3,3
4,3,4,3,4,3,4,3,2,4,3,3
3,2,3,3,3,3,3,2,2,3,3,3
2,3,3,2,3,2,2,3,3,3,3,2
3,4,4,4,3,3,3,3,2,3,3,3
3,4,3,3,3,3,2,4,2,3,3,4
3,2,3,3,2,4,4,3,4,4,4,4
3,3,3,2,3,2,3,3,3,2,2,2
2,3,3,3,2,2,3,3,3,3,3,3
3,1,2,3,3,5,3,3,3,4,2,4
4,5,4,4,4,4,4,4,4,4,4,4
3,3,4,3,4,3,3,4,4,4,3,4
4,3,3,4,3,3,3,2,5,3,4,3
3,3,3,3,3,3,4,2,3,3,3,3
3,4,3,3,2,3,3,3,3,3,4,4
4,3,3,3,3,3,3,2,3,2,3,2
3,3,4,3,3,3,3,3,3,3,3,3
4,3,4,4,4,3,4,4,4,4,4,4
3,3,3,3,3,2,4,3,3,3,3,3
3,3,4,4,3,3,3,2,3,3,4,3
4,4,4,4,4,4,4,3,3,3,4,3
4,4,4,4,4,4,2,3,1,3,3,3
3,3,3,3,3,3,3,3,3,3,4,3
2,3,2,2,3,3,3,3,3,2,2,3
2,2,2,2,2,3,1,2,2,1,2,1
3,3,3,2,3,3,3,3,3,3,3,3
3,3,3,4,2,3,3,3,3,2,3,3
3,3,3,4,4,3,3,3,3,3,3,3
2,2,2,2,2,3,2,3,2,2,3,3
3,3,3,3,3,2,3,3,2,2,2,3
4,4,4,4,4,4,4,3,4,3,3,4
3,3,4,4,3,3,4,4,3,3,3,3
3,3,4,4,3,3,3,3,3,3,3,3
3,3,2,3,3,4,4,4,4,3,3,3
3,3,3,3,3,4,3,4,4,3,4,4
3,3,2,2,2,3,3,3,2,2,3,2
3,3,3,3,3,2,2,3,4,3,4,3
4,3,3,2,3,3,3,3,4,3,3,3
4,3,3,3,4,4,4,3,3,4,4,3
3,4,4,3,3,3,4,3,3,4,4,3
3,3,2,2,2,3,3,2,2,2,3,2
2,3,2,3,3,2,2,2,4,3,3,2
3,4,3,3,3,4,3,3,4,4,4,4
2,2,3,2,3,3,3,2,2,2,3,2
4,3,3,4,3,3,3,3,4,3,3,3
3,3,2,2,2,2,2,2,1,2,2,2
3,3,4,3,3,4,3,3,3,3,3,3
3,3,3,2,3,3,3,2,2,2,2,2
3,4,3,4,4,3,2,4,3,3,4,3
3,3,4,3,3,4,4,3,3,4,3,4
3,4,3,3,4,3,4,3,3,4,5,3
3,3,3,4,3,3,4,4,3,4,3,4
3,3,4,3,3,2,2,3,2,3,3,3
3,3,3,4,3,3,2,3,4,3,3,2
3,4,3,3,3,3,3,3,4,3,3,3
2,3,3,3,3,3,3,3,4,3,4,4
2,2,2,3,3,1,2,2,2,1,2,2
4,4,4,4,4,3,3,3,4,3,3,3
3,3,3,3,2,3,3,3,3,3,2,3
4,3,3,3,3,3,3,4,4,3,4,4
4,3,4,3,4,4,3,4,4,4,3,3
2,2,2,3,3,2,2,3,2,2,1,3
3,2,3,3,3,3,3,4,5,3,4,4
4,3,3,4,4,3,3,3,4,4,3,3
2,2,2,2,2,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,2,3,3,4
2,3,2,2,2,3,2,2,4,3,2,3
2,3,3,2,2,3,2,3,3,3,3,3
2,3,3,2,2,3,4,4,3,3,3,4
3,3,3,3,3,3,3,2,2,3,3,3
3,4,4,3,3,3,3,2,3,3,3,3
3,3,4,3,4,3,3,3,2,3,3,3
3,4,3,3,2,2,3,2,3,3,2,2
2,3,2,2,2,2,3,3,2,3,2,2
2,4,4,4,3,3,2,3,3,3,3,2
2,3,2,3,2,2,2,3,3,2,3,2
4,3,4,4,3,3,3,3,3,3,3,3
3,3,3,3,4,3,3,3,4,4,4,3
2,2,2,2,2,3,2,2,3,1,2,2
4,4,4,4,4,3,3,3,3,4,4,3
3,3,3,3,3,3,3,4,3,4,4,3
3,3,3,4,3,4,3,3,3,2,4,2
2,2,3,3,3,3,4,3,4,3,2,3
3,3,3,4,3,3,4,3,3,3,4,3
3,3,3,3,3,3,3,4,3,3,3,3
2,2,3,3,2,2,2,2,2,3,3,2
3,4,4,3,3,4,4,4,4,4,4,3
4,4,4,4,4,4,4,3,3,3,4,3
3,3,3,3,3,3,3,3,4,4,3,4
2,2,2,2,2,2,2,3,3,3,2,2
3,4,3,3,3,3,2,3,3,2,3,2
3,4,3,4,4,3,3,3,3,3,4,3
3,3,3,3,3,2,4,4,4,4,3,4
4,4,4,4,4,3,3,3,3,3,4,3
3,3,2,4,3,2,3,3,4,4,2,3
4,4,3,4,4,4,4,3,3,3,4,3
3,4,3,3,3,3,4,4,3,3,3,4
3,3,3,3,3,4,3,3,2,2,2,3
4,3,3,4,4,3,3,3,4,3,3,3
3,3,4,3,4,3,4,3,3,3,2,3
4,3,4,2,3,3,3,2,2,2,3,2
4,3,3,3,3,3,4,3,4,3,3,3
4,3,3,3,3,3,4,4,3,4,3,5
3,3,3,3,3,2,2,2,2,2,2,2
3,2,3,3,3,2,2,2,2,2,2,3
4,3,4,3,3,4,4,3,3,2,4,3
3,3,3,4,3,3,2,4,4,4,3,4
3,3,3,3,4,4,4,3,3,4,5,4
4,4,3,5,4,4,4,3,4,4,4,4
3,4,3,3,4,3,3,4,4,3,3,3
3,3,3,3,2,3,3,3,2,3,3,3
3,3,3,4,4,3,3,3,3,3,3,3
2,3,3,3,3,2,2,2,2,2,3,2
2,2,2,3,3,4,4,4,3,3,3,3
3,3,4,4,4,3,3,3,3,3,3,3
4,4,4,4,4,4,3,3,3,3,4,3
4,4,5,3,4,4,3,4,2,3,3,3
3,3,3,3,3,3,3,2,3,3,3,2
3,3,4,3,4,3,4,4,3,4,4,3
4,3,3,4,3,3,2,3,3,2,3,2
3,4,3,5,4,3,3,4,4,4,3,4
3,3,3,2,2,3,3,3,2,3,3,3
4,3,3,4,3,3,4,3,3,3,3,3
3,3,3,3,4,3,3,3,3,3,2,3
3,3,3,3,3,2,3,3,3,3,3,2
3,3,3,3,4,3,3,3,4,3,4,4
3,4,3,3,3,3,4,4,4,3,3,4
3,3,4,3,3,3,3,3,4,3,4,3
3,3,4,3,3,3,3,4,2,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3
3,3,4,3,4,2,3,3,3,3,3,2
3,3,3,3,2,2,2,3,3,3,3,2
2,3,4,3,3,3,2,3,2,3,3,3
3,3,2,4,3,3,3,3,3,4,4,2
2,2,3,2,2,2,2,3,4,2,3,3
3,3,3,3,3,4,4,4,3,4,3,4
3,4,3,3,3,4,3,4,4,4,3,3
3,3,3,4,3,3,4,2,3,3,5,4
2,3,2,2,2,3,2,3,3,3,2,4
3,3,3,3,3,3,3,3,3,3,3,4
4,4,4,4,4,3,3,3,3,4,3,4
3,4,4,4,4,3,3,3,3,3,3,4
2,2,3,2,2,3,4,3,3,3,2,3
3,4,4,4,4,3,2,3,3,3,3,3
3,3,4,4,4,3,3,2,3,3,4,3
3,2,2,3,2,3,2,3,3,2,2,2
3,4,3,4,4,4,3,4,3,3,3,3
3,3,3,3,3,4,3,4,3,3,3,4
3,3,3,3,3,3,2,2,3,3,3,3
3,4,4,3,3,3,3,3,3,3,3,3
3,2,3,3,3,2,2,3,2,2,3,3
4,4,4,3,3,4,4,3,1,3,2,3
2,2,3,3,3,3,3,3,4,4,4,3
3,3,3,3,3,3,4,4,3,3,3,3
2,3,3,2,2,3,3,3,3,3,4,3
2,1,2,2,2,2,2,2,3,2,2,3
4,3,4,4,3,3,3,3,4,3,4,3
3,2,3,2,2,2,2,1,3,3,2,2
4,5,4,4,4,3,4,3,3,3,3,4
3,3,2,3,3,3,3,3,3,3,3,3
3,3,3,3,3,4,3,4,3,4,4,4
3,4,2,3,3,3,2,2,3,3,3,3
4,5,5,4,4,5,4,4,2,5,4,4
3,3,3,4,4,3,4,4,4,3,3,4
4,4,3,3,3,3,2,3,3,3,3,3
3,3,2,3,4,3,3,3,4,3,3,3
3,3,3,3,3,3,4,3,3,4,3,4
3,3,3,3,3,4,4,3,4,4,4,3
3,3,4,2,3,3,4,3,3,3,4,3
2,3,2,3,2,2,3,2,2,3,2,3
2,3,2,3,3,2,3,2,3,2,3,3
3,3,3,2,4,3,2,3,4,4,2,4
